party,venue,account_name,account_type,asset,amount,amount_usd,conv_rate
AAVEV2,HRP,Main Account,AccountType.MAIN,ETH,0.0,0.0,
APCAPKY,BINANCE,apcapital1@hiddenroad.com,AccountType.MAIN,USDT,8.3e-07,8.301064059029813e-07,1.00012819988311
APCAPKY,FTX,APCAPKY1,AccountType.UNIVERSAL,USD,0.00613253,0.00613253,1.0
APCAPKY,HRP,Main Account,AccountType.MAIN,ETH,0.00504763,12.93684384801743,
APCAPKY,HRP,Main Account,AccountType.MAIN,USD,963166.0550149486,963166.0550149486,
APCAPKY,HRP,Main Account,AccountType.MAIN,USDC,0.0,0.0,
APCAPKY,HRP,Main Account,AccountType.MAIN,USDT,1999980.80999832,2000237.2073043839,
APCAPKY,OKEX,APCAPKY1,AccountType.UNIVERSAL,ETH,1.7822682e-09,4.567871535490339e-06,2562.95406914085
APCAPKY,OKEX,APCAPKY1,AccountType.UNIVERSAL,USDT,1.971e-09,1.97125268196961e-09,1.00012819988311
APCAPKY,OKEX,APCAPKY1,AccountType.MAIN,USDT,8.5e-07,8.501089699006435e-07,1.00012819988311
BELVEKY,BINANCE,hrp_48384514151@hiddenroad.com,AccountType.UMFUTURE,BUSD,294692.36654019,294663.59638312575,0.999902372235148
BELVEKY,BINANCE,hrp_48384514151@hiddenroad.com,AccountType.UMFUTURE,USDT,-1711.26418714,-1711.4835710087618,1.00012819988311
BELVEKY,BINANCE,hrp_48384514153@hiddenroad.com,AccountType.UMFUTURE,USDT,49130.61662163,49136.91516093801,1.00012819988311
BELVEKY,HRP,Main Account,AccountType.MAIN,BUSD,-300000.0,-299970.7116705444,
BELVEKY,HRP,Main Account,AccountType.MAIN,USD,993764.8279568665,993764.8279568665,
BELVEKY,HRP,Main Account,AccountType.MAIN,USDT,-50000.0,-50006.409994155496,
BINANCE,BINANCE,apcapital1@hiddenroad.com,AccountType.MAIN,USDT,8.3e-07,8.301064059029813e-07,1.00012819988311
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,BNB,11020.8815,4212725.625897673,382.24942586468
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,BTC,0.73893941,28506.299124639478,38577.3160002922
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,BUSD,2219000.0,2218783.363989793,0.999902372235148
